vm_id,cores,mem
vm_00289,2,8192
vm_00290,2,8192
vm_00291,8,32768
vm_00292,2,2048
vm_00293,2,4096
vm_00294,2,8192
vm_00295,2,2048
vm_00296,2,8192
vm_00297,2,2048
vm_00298,2,8192
vm_00299,2,8192
vm_00300,4,32768
vm_00301,2,2048
vm_00302,24,65536
vm_00303,2,2048
vm_00304,4,32768
vm_00305,8,32768
vm_00306,4,32768
vm_00307,2,8192
vm_00308,2,4096
vm_00309,4,32768
vm_00310,2,2048
vm_00311,2,8192
vm_00312,4,32768
vm_00313,2,8192
vm_00314,4,32768
vm_00315,2,4096
vm_00316,2,2048
vm_00317,2,8192
vm_00318,2,8192
vm_00319,2,8192
vm_00320,4,32768
vm_00321,2,8192
vm_00322,2,2048
vm_00323,4,8192
vm_00324,8,32768
vm_00325,4,32768
vm_00326,2,8192
vm_00327,2,2048
vm_00328,2,8192
vm_00329,2,8192
vm_00330,2,8192
vm_00331,4,32768
vm_00332,2,4096
vm_00333,2,8192
vm_00334,4,32768
vm_00335,2,8192
vm_00336,2,8192
vm_00337,2,4096
vm_00338,2,8192
vm_00339,2,4096
vm_00340,8,32768
vm_00341,2,8192
vm_00342,4,65536
vm_00343,4,8192
vm_00344,2,8192
vm_00345,8,32768
vm_00346,8,32768
vm_00347,4,32768
vm_00348,2,8192
vm_00349,8,32768
vm_00350,2,8192
vm_00351,2,8192
vm_00352,24,65536
vm_00353,4,32768
vm_00354,4,32768
vm_00355,4,32768
vm_00356,2,4096
vm_00357,2,8192
vm_00358,2,8192
vm_00359,4,32768
vm_00360,4,32768
vm_00361,2,4096
vm_00362,2,4096
vm_00363,4,32768
vm_00364,4,32768
vm_00365,4,32768
vm_00366,4,8192
vm_00367,4,32768
vm_00368,4,32768
vm_00369,4,32768
vm_00370,4,32768
vm_00371,8,32768
vm_00372,2,4096
vm_00373,2,4096
vm_00374,4,8192
vm_00375,4,32768
vm_00376,2,4096
vm_00377,4,8192
vm_00378,4,8192
vm_00379,2,8192
vm_00380,2,4096
vm_00381,4,32768
vm_00382,2,4096
vm_00383,4,65536
vm_00384,2,4096
vm_00385,2,8192
vm_00386,8,32768
vm_00387,2,2048
vm_00388,2,8192
vm_00389,2,8192
vm_00390,2,2048
vm_00391,2,4096
vm_00392,2,8192
vm_00393,2,8192
vm_00394,2,4096
vm_00395,2,8192
vm_00396,2,4096
vm_00397,2,4096
vm_00398,4,32768
vm_00399,2,8192
vm_00400,2,2048
vm_00401,24,65536
vm_00402,2,2048
vm_00403,4,32768
vm_00404,2,8192
vm_00405,2,8192
vm_00406,8,32768
vm_00407,2,2048
vm_00408,8,32768
vm_00409,2,8192
vm_00410,2,2048
vm_00411,2,8192
vm_00412,2,4096
vm_00413,2,8192
vm_00414,2,4096
vm_00415,2,8192
vm_00416,2,8192
vm_00417,2,2048
vm_00418,4,32768
vm_00419,4,32768
vm_00420,2,2048
vm_00421,4,32768
vm_00422,8,32768
vm_00423,2,2048
vm_00424,8,32768
vm_00425,2,2048
vm_00426,2,8192
vm_00427,2,8192
vm_00428,2,2048
vm_00429,4,32768
vm_00430,4,32768
vm_00431,2,2048
vm_00432,2,8192
vm_00433,2,8192
vm_00434,2,8192
vm_00435,2,8192
vm_00436,8,32768
vm_00437,2,8192
vm_00438,2,4096
vm_00439,2,8192
vm_00440,24,65536
vm_00441,2,8192
vm_00442,8,32768
vm_00443,4,32768
vm_00444,4,32768
vm_00445,4,8192
vm_00446,4,32768
vm_00447,4,32768
vm_00448,2,2048
vm_00449,4,32768
vm_00450,4,32768
vm_00451,2,8192
vm_00452,24,65536
vm_00453,2,2048
vm_00454,4,32768
vm_00455,4,32768
vm_00456,2,4096
vm_00457,4,32768
vm_00458,2,8192
vm_00459,2,8192
vm_00460,4,32768
vm_00461,4,32768
vm_00462,8,32768
vm_00463,4,32768
vm_00464,2,8192
vm_00465,8,32768
vm_00466,2,8192
vm_00467,2,8192
vm_00468,4,32768
vm_00469,8,32768
vm_00470,4,32768
vm_00471,8,32768
vm_00472,2,8192
vm_00473,2,8192
vm_00474,8,32768
vm_00475,4,8192
vm_00476,4,65536
vm_00477,4,8192
vm_00478,2,4096
vm_00479,24,65536
vm_00480,4,32768
vm_00481,2,8192
vm_00482,2,8192
vm_00483,2,8192
vm_00484,4,8192
vm_00485,4,32768
vm_00486,2,2048
vm_00487,2,2048
vm_00488,4,32768
